Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,7.277500,7.429000,7.277500,7.428800,7.428800,0
2018-09-25,7.421000,7.429300,7.398600,7.421000,7.421000,0
2018-09-26,7.427300,7.429700,7.418700,7.427600,7.427600,0
2018-09-27,7.421300,7.432200,7.418700,7.421600,7.421600,0
2018-09-28,7.430300,7.435500,7.418800,7.431000,7.431000,0
2018-10-01,7.427200,7.436500,7.424300,7.427200,7.427200,0
2018-10-02,7.430000,7.438900,7.423100,7.430000,7.430000,0
2018-10-03,7.425000,7.430900,7.416500,7.429000,7.429000,0
2018-10-04,7.427700,7.430300,7.417900,7.429000,7.429000,0
2018-10-05,7.421700,7.427900,7.415500,7.425100,7.425100,0
2018-10-08,7.421000,7.421000,7.382800,7.272000,7.272000,0
2018-10-09,7.402500,7.428200,7.396400,7.401200,7.401200,0
2018-10-10,7.412300,7.434000,7.404100,7.412200,7.412200,0
2018-10-11,7.408400,7.418700,7.396500,7.408400,7.408400,0
2018-10-12,7.405900,7.415200,7.391400,7.410300,7.410300,0
2018-10-15,7.410600,7.433600,7.407400,7.410600,7.410600,0
2018-10-16,7.411300,7.415800,7.409300,7.412000,7.412000,0
2018-10-17,7.413300,7.418200,7.407700,7.414000,7.414000,0
2018-10-18,7.414600,7.422600,7.399400,7.414600,7.414600,0
2018-10-19,7.418000,7.431900,7.398800,7.418000,7.418000,0
2018-10-22,7.412400,7.433300,7.412400,7.412400,7.412400,0
2018-10-23,7.429700,7.433300,7.410300,7.429700,7.429700,0
2018-10-24,7.425000,7.431100,7.422500,7.425000,7.425000,0
2018-10-25,7.425000,7.442400,7.423700,7.425000,7.425000,0
2018-10-26,7.430300,7.435200,7.424300,7.430300,7.430300,0
2018-10-29,7.430000,7.431300,7.281500,7.430000,7.430000,0
2018-10-30,7.428000,7.435000,7.416300,7.427700,7.427700,0
2018-10-31,7.430600,7.434700,7.411600,7.431000,7.431000,0
2018-11-01,7.432300,7.435000,7.424400,7.432700,7.432700,0
2018-11-02,7.431700,7.440900,7.416500,7.432300,7.432300,0
