"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","decision_type_ID","decision_type","count_decisions"
15543,2005,2,"Agriculture and Rural Development","AGRI",21,"Lithuania","LT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",7
15581,2005,2,"Agriculture and Rural Development","AGRI",23,"Poland","PL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
15583,2005,2,"Agriculture and Rural Development","AGRI",23,"Poland","PL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
15603,2005,2,"Agriculture and Rural Development","AGRI",24,"Slovakia","SK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
15621,2005,2,"Agriculture and Rural Development","AGRI",25,"Slovenia","SI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
15664,2005,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15671,2005,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
15675,2005,3,"Maritime Affairs and Fisheries","MARE",2,"France","FR",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
15701,2005,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",10
15703,2005,3,"Maritime Affairs and Fisheries","MARE",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",5
15743,2005,3,"Maritime Affairs and Fisheries","MARE",6,"Netherlands","NL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
15801,2005,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
15803,2005,3,"Maritime Affairs and Fisheries","MARE",9,"United Kingdom","UK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
